month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,remaining_lease_years,price_per_sqft,storey_mid
2017-04,TAMPINES,5 ROOM,156,SIMEI RD,04 TO 06,121.0,Improved,1989,70 years 10 months,555000.0,70.83333333333333,426.12592643039534,5.0
2017-06,TAMPINES,EXECUTIVE,105,SIMEI ST 1,01 TO 03,154.0,Maisonette,1988,69 years 09 months,680000.0,69.75,410.22161257391986,2.0
2018-05,BEDOK,3 ROOM,401,BEDOK NTH AVE 3,04 TO 06,67.0,New Generation,1979,60 years 01 month,295000.0,60.083333333333336,409.05109436420497,5.0
2018-06,BEDOK,4 ROOM,52,NEW UPP CHANGI RD,04 TO 06,84.0,Improved,1977,58 years 03 months,350000.0,58.25,387.09637461019395,5.0
2018-08,TAMPINES,4 ROOM,240,TAMPINES ST 21,10 TO 12,104.0,Model A,1984,65 years,508000.0,,453.7960576199504,11.0
2018-11,TAMPINES,4 ROOM,841,TAMPINES ST 83,01 TO 03,90.0,Simplified,1986,66 years 07 months,380000.0,66.58333333333333,392.25765960499655,2.0
2019-01,BEDOK,3 ROOM,75,BEDOK NTH RD,10 TO 12,59.0,Improved,1978,58 years,269500.0,,424.3626018608024,11.0
2019-09,BEDOK,3 ROOM,520,BEDOK NTH AVE 1,01 TO 03,67.0,New Generation,1979,58 years 11 months,255000.0,58.916666666666664,353.58653919617717,2.0
2021-02,TAMPINES,5 ROOM,120,SIMEI ST 1,07 TO 09,128.0,Improved,1988,66 years 05 months,580088.0,66.41666666666667,421.0311782903966,8.0
2021-05,TAMPINES,5 ROOM,298,TAMPINES ST 22,07 TO 09,121.0,Improved,1985,62 years 11 months,512500.0,62.916666666666664,393.49466179383353,8.0
2021-08,TAMPINES,3 ROOM,879A,TAMPINES AVE 8,10 TO 12,68.0,Model A,2017,94 years 11 months,445000.0,94.91666666666669,607.9690118877752,11.0
2021-08,TAMPINES,5 ROOM,523C,TAMPINES CTRL 7,04 TO 06,113.0,Improved,2015,93 years 01 month,673000.0,93.08333333333331,553.308021478217,5.0
2021-09,BEDOK,3 ROOM,21,CHAI CHEE RD,10 TO 12,65.0,Improved,1972,49 years 11 months,303000.0,49.916666666666664,433.0715132562047,11.0
2022-03,BEDOK,4 ROOM,52,CHAI CHEE ST,07 TO 09,98.0,New Generation,1981,58 years 03 months,430000.0,58.25,407.6361822425716,8.0
2022-10,TAMPINES,5 ROOM,731,TAMPINES ST 71,04 TO 06,125.0,Improved,1997,73 years 10 months,625000.0,73.83333333333333,464.5156495322328,5.0
2022-12,TAMPINES,3 ROOM,883,TAMPINES ST 84,10 TO 12,74.0,Model A,1988,64 years 07 months,420000.0,64.58333333333333,527.2880346041561,11.0
2023-01,BUKIT MERAH,4 ROOM,70A,TELOK BLANGAH HTS,10 TO 12,93.0,Model A,2017,93 years 06 months,855000.0,93.5,854.1094201076538,11.0
2023-01,BUKIT MERAH,4 ROOM,90B,TELOK BLANGAH ST 31,10 TO 12,93.0,Model A,2018,95 years,868000.0,,867.0958791268345,11.0
2023-01,BUKIT MERAH,4 ROOM,10A,BOON TIONG RD,01 TO 03,92.0,Model A,2016,92 years 01 month,790000.0,92.08333333333331,797.7551372401389,2.0
2023-01,BUKIT MERAH,4 ROOM,127A,KIM TIAN RD,34 TO 36,93.0,Model A,2013,89 years 02 months,935000.0,89.16666666666667,934.0260909949196,35.0
2023-01,QUEENSTOWN,4 ROOM,18A,HOLLAND DR,40 TO 42,92.0,Model A,2012,88 years 09 months,1050000.0,88.75,1060.307460888792,41.0
2023-02,TAMPINES,EXECUTIVE,329,TAMPINES ST 32,04 TO 06,149.0,Apartment,1995,71 years 11 months,825000.0,71.91666666666667,514.3965246497879,5.0
2023-02,QUEENSTOWN,4 ROOM,29,GHIM MOH LINK,22 TO 24,93.0,Model A,2018,94 years 04 months,925233.0,94.33333333333331,924.2692644379706,23.0
2023-02,BEDOK,3 ROOM,39,BEDOK STH RD,04 TO 06,67.0,New Generation,1978,54 years 08 months,348000.0,54.666666666666664,482.5416299618418,5.0
2023-02,BUKIT MERAH,4 ROOM,3,DELTA AVE,04 TO 06,91.0,New Generation,1985,61 years 08 months,670000.0,61.666666666666664,684.0120553551559,5.0
2023-03,CENTRAL AREA,4 ROOM,639,ROWELL RD,01 TO 03,109.0,Model A,1983,59 years 07 months,655000.0,59.583333333333336,558.2711017313991,2.0
2023-03,BUKIT MERAH,4 ROOM,102,BT PURMEI RD,01 TO 03,108.0,Model A,1984,60 years 03 months,620000.0,60.25,533.3327827962672,2.0
2023-03,QUEENSTOWN,4 ROOM,87,DAWSON RD,16 TO 18,83.0,Premium Apartment,2016,92 years 05 months,905000.0,92.41666666666669,1012.9799104257124,17.0
2023-03,BUKIT MERAH,4 ROOM,90A,TELOK BLANGAH ST 31,25 TO 27,93.0,Model A,2018,94 years 10 months,940000.0,94.83333333333331,939.0208829253736,26.0
2023-04,BUKIT MERAH,4 ROOM,62,TELOK BLANGAH HTS,10 TO 12,98.0,New Generation,1976,52 years 06 months,584000.0,52.5,553.6268149527018,11.0
2023-04,BUKIT MERAH,4 ROOM,63B,LENGKOK BAHRU,04 TO 06,90.0,Model A,2001,77 years 07 months,770000.0,77.58333333333333,794.8378891995983,5.0
2023-04,QUEENSTOWN,4 ROOM,31,GHIM MOH LINK,22 TO 24,93.0,Model A,2018,94 years 03 months,930000.0,94.25,929.0312990644657,23.0
2023-05,CENTRAL AREA,4 ROOM,1E,CANTONMENT RD,43 TO 45,93.0,Type S1,2011,86 years 09 months,1270000.0,86.75,1268.6771503353457,44.0
2023-05,QUEENSTOWN,4 ROOM,91,DAWSON RD,10 TO 12,97.0,Premium Apartment Loft,2016,91 years 11 months,1000000.0,91.91666666666669,957.7642258396552,11.0
2023-05,BUKIT MERAH,4 ROOM,13,JLN BT MERAH,07 TO 09,106.0,Model A,1996,72 years 07 months,750000.0,72.58333333333333,657.3334663191973,8.0
2023-05,CENTRAL AREA,4 ROOM,8,TG PAGAR PLAZA,25 TO 27,83.0,Improved,1980,56 years 01 month,745000.0,56.083333333333336,833.889539521719,26.0
2023-05,BEDOK,3 ROOM,20,CHAI CHEE RD,04 TO 06,65.0,Improved,1972,48 years 03 months,335000.0,48.25,478.8084387486091,5.0
2023-07,QUEENSTOWN,4 ROOM,28B,DOVER CRES,40 TO 42,88.0,Model A,2012,87 years 10 months,865000.0,87.83333333333333,913.1955382849576,41.0
2023-07,CENTRAL AREA,4 ROOM,1B,CANTONMENT RD,28 TO 30,95.0,Type S1,2011,86 years 07 months,1320000.0,86.58333333333333,1290.8645418579945,29.0
2023-08,BUKIT MERAH,4 ROOM,83,REDHILL LANE,01 TO 03,107.0,Model A,1996,72 years 04 months,770000.0,72.33333333333333,668.5552339062041,2.0
2023-08,QUEENSTOWN,4 ROOM,18,DOVER CRES,04 TO 06,92.0,Model A,2003,79 years 01 month,685000.0,79.08333333333333,691.7243911512596,5.0
